date,temp c,ph,do (mg/l),do (%)
05/15/2015,21.87,7.36,8.48,96.97
05/15/2015,21.78,7.34,8.36,95.42
05/15/2015,21.87,7.38,8.51,97.34
05/15/2015,21.81,7.37,8.46,96.7
05/15/2015,21.83,7.36,8.42,96.22
05/15/2015,21.76,7.35,8.36,95.43
05/16/2015,21.68,7.34,8.33,94.9
05/16/2015,21.7,7.32,8.29,94.52
05/16/2015,21.62,7.32,8.24,93.75
05/16/2015,21.57,7.31,8.17,92.91
05/16/2015,21.62,7.27,7.94,90.35
05/16/2015,21.59,7.26,7.86,89.4
05/13/2015,22.88,7.45,8.85,103.15
05/16/2015,21.54,7.26,7.81,88.73
05/13/2015,22.95,7.47,8.95,104.48
05/16/2015,21.52,7.25,7.77,88.3
05/13/2015,22.89,7.45,8.87,103.44
05/16/2015,21.49,7.25,7.77,88.23
05/13/2015,22.82,7.43,8.79,102.36
05/16/2015,21.56,7.28,7.9,89.87
05/13/2015,23.02,7.52,9.04,105.69
05/16/2015,21.57,7.29,7.92,90.11
05/13/2015,22.87,7.51,9.04,105.41
05/16/2015,21.6,7.3,8.01,91.19
05/13/2015,22.79,7.52,9.04,105.26
05/16/2015,21.69,7.33,8.18,93.27
05/13/2015,22.59,7.48,8.97,104.06
05/16/2015,21.78,7.36,8.33,95.13
05/13/2015,22.45,7.5,8.98,103.87
05/16/2015,21.81,7.37,8.37,95.67
05/13/2015,22.31,7.49,8.95,103.22
05/16/2015,21.76,7.35,8.31,94.81
05/13/2015,22.2,7.43,8.77,100.94
05/16/2015,22.05,7.38,8.37,96.09
05/13/2015,22.07,7.42,8.74,100.35
05/16/2015,22.11,7.36,8.38,96.29
05/13/2015,21.98,7.39,8.59,98.39
05/16/2015,22.03,7.35,8.4,96.35
05/13/2015,21.87,7.35,8.45,96.64
05/16/2015,21.96,7.34,8.33,95.49
05/13/2015,21.78,7.36,8.44,96.38
05/16/2015,21.95,7.33,8.34,95.57
05/13/2015,21.78,7.38,8.51,97.16
05/14/2015,21.81,7.37,8.48,96.86
05/14/2015,21.79,7.37,8.44,96.38
05/16/2015,21.96,7.39,8.51,97.49
05/14/2015,21.84,7.36,8.41,96.11
05/16/2015,21.87,7.31,8.28,94.78
05/14/2015,21.79,7.31,8.17,93.32
05/16/2015,21.96,7.35,8.42,96.52
05/14/2015,21.58,7.31,8.14,92.61
05/16/2015,21.92,7.34,8.37,95.86
05/14/2015,21.47,7.31,8.15,92.54
05/16/2015,21.93,7.35,8.35,95.64
05/14/2015,21.55,7.32,8.13,92.36
05/16/2015,21.9,7.33,8.28,94.83
05/14/2015,21.56,7.31,8.07,91.79
05/16/2015,21.88,7.32,8.23,94.15
05/14/2015,21.53,7.3,8.02,91.13
05/16/2015,21.83,7.3,8.08,92.37
05/14/2015,21.46,7.28,7.96,90.3
05/16/2015,21.78,7.3,8.11,92.58
05/14/2015,21.39,7.28,7.94,89.98
05/16/2015,21.76,7.29,8.02,91.58
05/14/2015,21.43,7.32,8.17,92.61
05/16/2015,21.72,7.3,8.04,91.7
05/14/2015,21.53,7.35,8.3,94.32
05/17/2015,21.69,7.29,8,91.14
05/14/2015,21.58,7.37,8.37,95.2
05/17/2015,21.7,7.27,7.87,89.75
05/14/2015,21.74,7.41,8.55,97.52
05/17/2015,21.75,7.3,7.99,91.18
05/14/2015,22.11,7.46,8.71,100.03
05/17/2015,21.77,7.29,7.96,90.88
05/14/2015,22.3,7.49,8.85,102.04
05/17/2015,21.74,7.29,7.92,90.43
05/14/2015,22.81,7.56,9.06,105.52
05/17/2015,21.71,7.28,7.85,89.52
05/14/2015,22.81,7.55,9.08,105.71
05/17/2015,21.78,7.28,7.83,89.47
05/14/2015,23,7.58,9.17,107.16
05/17/2015,21.75,7.27,7.77,88.71
05/14/2015,23.58,7.68,9.41,111.2
05/17/2015,21.88,7.29,7.9,90.39
05/14/2015,23.53,7.62,9.3,109.79
05/17/2015,22.06,7.34,8.16,93.65
05/14/2015,23.13,7.57,9.29,108.79
05/17/2015,22.25,7.36,8.24,94.97
05/14/2015,22.96,7.52,9.15,106.87
05/17/2015,22.7,7.38,8.23,95.71
05/14/2015,22.95,7.61,9.3,108.64
05/17/2015,22.65,7.41,8.47,98.39
05/14/2015,23.08,7.59,9.2,107.72
05/14/2015,22.6,7.41,8.8,102.07
05/14/2015,22.6,7.42,8.67,100.6
05/14/2015,22.53,7.46,8.83,102.23
05/14/2015,22.37,7.41,8.64,99.82
05/14/2015,22.19,7.39,8.58,98.72
05/14/2015,22,7.36,8.49,97.31
05/15/2015,21.92,7.34,8.33,95.36
05/15/2015,21.83,7.31,8.16,93.26
05/15/2015,21.77,7.27,7.99,91.23
05/15/2015,21.72,7.28,7.99,91.15
05/15/2015,21.73,7.27,7.92,90.33
05/15/2015,21.68,7.26,7.86,89.62
05/15/2015,21.65,7.25,7.81,88.99
05/15/2015,21.69,7.26,7.78,88.71
05/15/2015,21.47,7.25,7.74,87.89
05/15/2015,21.61,7.27,7.82,88.97
05/15/2015,21.67,7.29,7.93,90.31
05/15/2015,21.86,7.35,8.28,94.67
05/15/2015,22.36,7.38,8.33,96.22
05/15/2015,22.59,7.41,8.54,99
05/15/2015,22.25,7.38,8.55,98.49
05/15/2015,22.36,7.43,8.73,100.78
05/15/2015,22.69,7.46,8.84,102.7
05/15/2015,22.44,7.45,8.86,102.47
05/15/2015,22.3,7.41,8.72,100.56
05/15/2015,22.18,7.4,8.68,99.9
05/15/2015,22.11,7.35,8.45,97.15
05/15/2015,22.29,7.39,8.59,99.09
05/15/2015,22.07,7.36,8.49,97.49
05/15/2015,22.01,7.38,8.59,98.53
05/15/2015,22.02,7.42,8.74,100.27
05/15/2015,21.95,7.4,8.67,99.37
05/15/2015,21.82,7.35,8.43,96.35
05/15/2015,21.9,7.39,8.53,97.59
05/15/2015,21.85,7.37,8.45,96.61
05/15/2015,21.85,7.37,8.46,96.7
05/15/2015,21.81,7.36,8.4,95.92
05/15/2015,21.7,7.35,8.35,95.2
05/16/2015,21.69,7.33,8.28,94.34
05/16/2015,21.67,7.32,8.24,93.93
05/16/2015,21.59,7.31,8.18,93.1
05/16/2015,21.62,7.28,7.98,90.88
05/16/2015,21.59,7.27,7.89,89.81
05/13/2015,22.84,7.44,8.83,102.89
05/16/2015,21.57,7.26,7.81,88.88
05/13/2015,22.95,7.46,8.92,104.15
05/16/2015,21.53,7.25,7.77,88.32
05/13/2015,22.91,7.47,8.91,103.96
05/16/2015,21.51,7.26,7.8,88.58
05/13/2015,22.86,7.46,8.9,103.69
05/16/2015,21.5,7.28,7.88,89.53
05/13/2015,22.88,7.44,8.82,102.87
05/16/2015,21.53,7.28,7.86,89.36
05/13/2015,22.88,7.49,8.98,104.71
05/16/2015,21.59,7.3,7.98,90.82
05/13/2015,22.67,7.47,8.93,103.72
05/16/2015,21.65,7.32,8.11,92.36
05/13/2015,22.69,7.53,9.09,105.65
05/16/2015,21.72,7.36,8.29,94.6
05/13/2015,22.48,7.52,9.04,104.56
05/16/2015,21.79,7.37,8.36,95.54
05/13/2015,22.35,7.5,8.98,103.66
05/16/2015,21.77,7.36,8.34,95.22
05/13/2015,22.25,7.44,8.8,101.37
05/16/2015,21.78,7.37,8.33,95.17
05/13/2015,22.11,7.43,8.74,100.45
05/16/2015,22.1,7.36,8.38,96.32
05/13/2015,22.01,7.4,8.66,99.25
05/16/2015,22.04,7.36,8.39,96.34
05/13/2015,21.91,7.38,8.56,97.96
05/16/2015,21.98,7.34,8.34,95.59
05/16/2015,21.98,7.33,8.33,95.45
05/13/2015,21.82,7.35,8.38,95.77
05/16/2015,21.94,7.33,8.32,95.31
05/13/2015,21.78,7.38,8.53,97.43
05/16/2015,21.97,7.38,8.51,97.55
05/16/2015,21.92,7.33,8.32,95.23
05/14/2015,21.87,7.33,8.24,94.23
05/16/2015,21.97,7.37,8.47,97.08
05/14/2015,21.57,7.31,8.17,92.9
05/16/2015,21.9,7.35,8.37,95.8
05/14/2015,21.5,7.3,8.09,91.84
05/16/2015,21.94,7.35,8.36,95.79
05/14/2015,21.55,7.32,8.16,92.73
05/16/2015,21.91,7.34,8.3,95.04
05/14/2015,21.53,7.31,8.1,91.99
05/16/2015,21.88,7.33,8.24,94.31
05/14/2015,21.5,7.3,8.05,91.38
05/16/2015,21.85,7.31,8.15,93.15
05/14/2015,21.48,7.29,7.97,90.49
05/16/2015,21.81,7.3,8.06,92.07
05/14/2015,21.42,7.28,7.95,90.08
05/16/2015,21.78,7.29,8.04,91.81
05/14/2015,21.4,7.3,8.05,91.2
05/16/2015,21.73,7.29,8,91.21
05/14/2015,21.51,7.35,8.26,93.82
05/17/2015,21.7,7.29,8.02,91.43
05/14/2015,21.58,7.37,8.38,95.31
05/17/2015,21.69,7.29,7.97,90.86
05/14/2015,21.71,7.4,8.51,97.08
05/17/2015,21.73,7.3,7.99,91.13
05/14/2015,21.89,7.45,8.68,99.31
05/17/2015,21.75,7.3,7.98,91.07
05/14/2015,22.23,7.46,8.78,101.13
05/17/2015,21.75,7.29,7.94,90.6
05/14/2015,22.47,7.53,9.01,104.24
05/17/2015,21.69,7.28,7.86,89.65
05/14/2015,22.61,7.52,9.01,104.53
05/17/2015,21.78,7.28,7.85,89.65
05/14/2015,22.92,7.56,9.15,106.72
05/17/2015,21.76,7.28,7.81,89.2
05/14/2015,23.51,7.7,9.46,111.63
05/17/2015,21.73,7.27,7.79,88.86
05/14/2015,23.59,7.6,9.24,109.2
05/17/2015,22.03,7.33,8.09,92.81
05/14/2015,23.26,7.59,9.31,109.28
05/17/2015,22.18,7.34,8.11,93.34
05/14/2015,22.96,7.49,9.09,106.19
05/14/2015,22.96,7.59,9.28,108.39
05/14/2015,23.06,7.66,9.39,109.8
05/14/2015,22.62,7.44,8.86,102.79
05/14/2015,22.56,7.41,8.7,100.8
05/14/2015,22.58,7.46,8.81,102.15
05/14/2015,22.43,7.43,8.7,100.52
05/14/2015,22.29,7.37,8.48,97.72
05/14/2015,22.13,7.41,8.72,100.17
05/14/2015,22.1,7.41,8.68,99.7
05/14/2015,22.08,7.38,8.58,98.53
05/14/2015,22.05,7.37,8.5,97.58
05/14/2015,22.01,7.36,8.47,97.13
05/14/2015,21.95,7.33,8.3,95.08
05/15/2015,21.87,7.31,8.17,93.43
05/15/2015,21.78,7.29,8.05,91.96
05/15/2015,21.72,7.28,8.03,91.6
05/15/2015,21.73,7.28,7.95,90.7
05/15/2015,21.7,7.27,7.89,89.91
05/15/2015,21.66,7.25,7.82,89.07
05/15/2015,21.66,7.26,7.84,89.3
05/15/2015,21.49,7.24,7.73,87.72
05/15/2015,21.5,7.26,7.77,88.2
05/15/2015,21.64,7.28,7.92,90.16
05/15/2015,21.76,7.32,8.07,92.16
05/15/2015,22.16,7.39,8.41,96.7
05/15/2015,22.48,7.39,8.44,97.66
05/15/2015,22.27,7.36,8.4,96.84
05/15/2015,22.22,7.37,8.53,98.25
05/15/2015,22.72,7.49,8.93,103.83
05/15/2015,22.54,7.48,8.94,103.61
05/15/2015,22.31,7.41,8.72,100.62
05/15/2015,22.22,7.39,8.66,99.7
05/15/2015,22.13,7.35,8.47,97.34
05/15/2015,22.34,7.4,8.59,99.18
05/15/2015,22.17,7.36,8.55,98.42
05/15/2015,22.06,7.37,8.58,98.47
05/15/2015,22.04,7.41,8.73,100.24
05/15/2015,21.99,7.4,8.64,99.09
05/15/2015,21.9,7.37,8.55,97.89
05/15/2015,21.85,7.36,8.5,97.23
05/15/2015,21.83,7.37,8.42,96.24
05/15/2015,21.87,7.37,8.44,96.58
05/15/2015,21.79,7.37,8.45,96.45
05/15/2015,21.82,7.36,8.42,96.26
05/15/2015,21.75,7.35,8.35,95.35
05/16/2015,21.69,7.34,8.3,94.67
05/16/2015,21.7,7.32,8.27,94.25
05/16/2015,21.6,7.31,8.19,93.24
05/16/2015,21.57,7.31,8.12,92.4
05/16/2015,21.6,7.27,7.92,90.12
05/13/2015,22.74,7.4,8.72,101.39
05/16/2015,21.59,7.26,7.83,89.03
05/13/2015,22.93,7.46,8.9,103.84
05/16/2015,21.56,7.25,7.77,88.4
05/13/2015,22.9,7.46,8.9,103.86
05/16/2015,21.54,7.26,7.82,88.85
05/13/2015,22.83,7.44,8.84,102.99
05/16/2015,21.46,7.27,7.87,89.26
05/13/2015,22.83,7.41,8.71,101.45
05/16/2015,21.54,7.28,7.86,89.39
05/13/2015,22.95,7.51,9.03,105.47
05/16/2015,21.56,7.29,7.95,90.46
05/13/2015,22.82,7.52,9.08,105.77
05/16/2015,21.63,7.31,8.06,91.75
05/13/2015,22.71,7.51,9.04,105.05
05/16/2015,21.69,7.34,8.24,93.9
05/13/2015,22.54,7.51,9.03,104.54
05/16/2015,21.78,7.37,8.36,95.45
05/13/2015,22.41,7.5,8.96,103.56
05/16/2015,21.79,7.36,8.36,95.46
05/13/2015,22.23,7.47,8.89,102.42
05/16/2015,21.75,7.35,8.29,94.61
05/13/2015,22.16,7.43,8.76,100.74
05/16/2015,22.15,7.35,8.31,95.56
05/13/2015,22.04,7.38,8.6,98.69
05/16/2015,22.05,7.36,8.38,96.15
05/13/2015,21.94,7.38,8.55,97.96
05/16/2015,22,7.33,8.36,95.91
05/16/2015,21.98,7.33,8.28,94.93
05/13/2015,21.85,7.35,8.43,96.41
05/16/2015,21.97,7.35,8.34,95.57
05/13/2015,21.81,7.39,8.57,97.94
05/16/2015,21.96,7.36,8.44,96.73
05/16/2015,21.93,7.32,8.25,94.51
05/14/2015,21.87,7.34,8.29,94.82
05/16/2015,21.93,7.36,8.47,97.01
05/14/2015,21.65,7.31,8.18,93.15
05/16/2015,21.93,7.35,8.42,96.43
05/14/2015,21.51,7.3,8.12,92.28
05/16/2015,21.89,7.34,8.37,95.76
05/14/2015,21.53,7.32,8.14,92.45
05/16/2015,21.91,7.34,8.33,95.33
05/14/2015,21.54,7.31,8.11,92.13
05/16/2015,21.89,7.33,8.27,94.63
05/14/2015,21.53,7.3,8.05,91.49
05/16/2015,21.87,7.32,8.22,93.98
05/14/2015,21.49,7.29,8,90.83
05/16/2015,21.82,7.3,8.12,92.84
05/14/2015,21.45,7.28,7.96,90.31
05/16/2015,21.8,7.3,8.08,92.27
05/14/2015,21.39,7.3,8.05,91.19
05/16/2015,21.74,7.29,8.03,91.63
05/14/2015,21.5,7.34,8.23,93.42
05/17/2015,21.73,7.29,8.02,91.45
05/14/2015,21.54,7.36,8.32,94.51
05/17/2015,21.68,7.29,8,91.18
05/14/2015,21.62,7.38,8.42,95.84
05/17/2015,21.75,7.3,8.01,91.43
05/14/2015,21.81,7.42,8.59,98.16
05/17/2015,21.76,7.3,7.99,91.2
05/14/2015,22.12,7.48,8.79,101.05
05/17/2015,21.76,7.29,7.95,90.73
05/14/2015,22.42,7.51,8.94,103.29
05/17/2015,21.73,7.28,7.89,90.01
05/14/2015,22.8,7.56,9.08,105.68
05/17/2015,21.72,7.28,7.86,89.62
05/14/2015,22.94,7.57,9.14,106.73
05/17/2015,21.76,7.28,7.83,89.38
05/14/2015,23.21,7.63,9.34,109.61
05/17/2015,21.74,7.26,7.75,88.41
05/14/2015,23.64,7.63,9.29,109.83
05/17/2015,21.96,7.31,8,91.73
05/14/2015,23.28,7.6,9.34,109.69
05/17/2015,22.13,7.35,8.18,94.02
05/14/2015,23.02,7.5,9.1,106.43
05/17/2015,22.46,7.37,8.24,95.32
05/14/2015,22.96,7.54,9.2,107.4
05/17/2015,22.69,7.38,8.29,96.37
05/14/2015,22.95,7.59,9.25,107.94
05/17/2015,22.54,7.41,8.49,98.39
05/17/2015,22.56,7.42,8.52,98.75
05/14/2015,22.94,7.48,8.87,103.6
05/14/2015,22.59,7.41,8.81,102.22
05/14/2015,22.61,7.46,8.78,101.89
05/14/2015,22.46,7.43,8.73,100.94
05/14/2015,22.34,7.4,8.6,99.3
05/14/2015,22.15,7.41,8.7,100.01
05/14/2015,21.98,7.36,8.47,97.1
05/15/2015,21.88,7.31,8.19,93.66
05/15/2015,21.81,7.29,8.09,92.43
05/15/2015,21.73,7.27,7.98,91.08
05/15/2015,21.75,7.28,7.97,90.93
05/15/2015,21.75,7.27,7.91,90.25
05/15/2015,21.68,7.26,7.86,89.56
05/15/2015,21.61,7.26,7.84,89.26
05/15/2015,21.64,7.25,7.74,88.14
05/15/2015,21.45,7.25,7.74,87.83
05/15/2015,21.65,7.28,7.88,89.77
05/15/2015,21.69,7.29,7.94,90.47
05/15/2015,21.97,7.37,8.36,95.79
05/15/2015,22.45,7.39,8.42,97.41
05/15/2015,22.67,7.4,8.56,99.4
05/15/2015,22.28,7.38,8.53,98.34
05/15/2015,22.53,7.45,8.77,101.59
05/15/2015,22.74,7.52,9.01,104.76
05/15/2015,22.32,7.41,8.71,100.51
05/15/2015,22.27,7.41,8.73,100.6
05/15/2015,22.14,7.36,8.53,98.05
05/15/2015,22.22,7.39,8.65,99.58
05/15/2015,22.18,7.36,8.52,98.08
05/15/2015,22.07,7.37,8.57,98.34
05/15/2015,22,7.4,8.68,99.56
05/15/2015,22.02,7.41,8.72,100
05/15/2015,21.91,7.37,8.55,97.83
05/18/2015,22.17,7.39,8.4,96.7
05/18/2015,22.18,7.39,8.41,96.77
05/18/2015,21.92,7.37,8.41,96.32
05/18/2015,22.04,7.38,8.46,97.14
05/18/2015,22.11,7.4,8.51,97.81
05/18/2015,22.43,7.43,8.58,99.21
05/18/2015,22.32,7.42,8.59,99.13
05/18/2015,22.38,7.41,8.59,99.25
05/18/2015,22.32,7.41,8.62,99.46
05/18/2015,22.49,7.43,8.69,100.59
05/18/2015,22.44,7.42,8.7,100.69
05/18/2015,22.38,7.43,8.74,101.03
05/18/2015,22.5,7.44,8.72,100.93
05/18/2015,22.42,7.43,8.68,100.36
05/18/2015,22.38,7.44,8.73,100.92
05/18/2015,22.3,7.45,8.79,101.37
05/18/2015,22.31,7.44,8.75,101
05/18/2015,22.29,7.44,8.75,100.87
05/18/2015,22.24,7.43,8.72,100.48
05/18/2015,22.33,7.44,8.68,100.23
05/18/2015,22.29,7.47,8.82,101.79
05/18/2015,22.24,7.48,8.9,102.57
05/17/2015,22.44,7.43,8.58,99.27
05/17/2015,22.59,7.48,8.77,101.69
05/17/2015,22.6,7.49,8.82,102.27
05/17/2015,22.6,7.54,9,104.42
05/17/2015,22.67,7.55,9.03,104.88
05/17/2015,22.61,7.53,9.02,104.7
05/17/2015,22.6,7.5,8.87,102.95
05/17/2015,22.98,7.56,9.02,105.34
05/17/2015,22.99,7.55,8.99,105.09
05/17/2015,23.12,7.63,9.25,108.42
05/17/2015,23.24,7.66,9.34,109.72
05/17/2015,23.26,7.63,9.24,108.5
05/17/2015,23.21,7.6,9.1,106.8
05/17/2015,23.29,7.6,9.13,107.34
05/17/2015,23.29,7.6,9.14,107.49
05/17/2015,23.32,7.52,8.9,104.74
05/17/2015,23.54,7.62,9.18,108.38
05/17/2015,22.99,7.55,9.07,105.97
05/17/2015,23,7.64,9.39,109.83
05/17/2015,23.01,7.64,9.42,110.13
05/17/2015,22.94,7.61,9.31,108.73
05/17/2015,22.88,7.59,9.3,108.49
05/17/2015,22.8,7.57,9.26,107.86
05/17/2015,22.87,7.58,9.27,108.15
05/17/2015,22.87,7.59,9.33,108.8
05/17/2015,22.8,7.56,9.27,107.94
05/17/2015,22.77,7.52,9.19,107.03
05/17/2015,22.81,7.55,9.28,108.06
05/17/2015,22.88,7.56,9.24,107.82
05/17/2015,22.88,7.65,9.42,109.88
05/17/2015,22.87,7.63,9.42,109.87
05/17/2015,22.85,7.55,9.19,107.17
05/17/2015,22.75,7.52,9.18,106.78
05/17/2015,22.47,7.49,9.06,104.91
05/17/2015,22.55,7.49,9.08,105.31
05/17/2015,22.57,7.48,9.06,105
05/17/2015,22.61,7.47,9,104.43
05/17/2015,22.6,7.47,8.95,103.84
05/17/2015,22.44,7.44,8.86,102.52
05/17/2015,22.44,7.44,8.86,102.43
05/17/2015,22.25,7.4,8.63,99.5
05/17/2015,22.19,7.4,8.67,99.82
05/17/2015,22.16,7.39,8.59,98.79
05/17/2015,22.35,7.4,8.63,99.6
05/17/2015,22.27,7.4,8.6,99.15
05/17/2015,22.26,7.39,8.6,99.14
05/17/2015,22.25,7.4,8.55,98.58
05/17/2015,22.15,7.42,8.65,99.51
05/17/2015,22.07,7.41,8.61,98.88
05/17/2015,22.01,7.41,8.61,98.8
05/17/2015,22.02,7.39,8.5,97.56
05/17/2015,22,7.38,8.46,96.98
05/17/2015,22.04,7.37,8.37,96.09
05/17/2015,22.07,7.36,8.3,95.34
05/17/2015,22.08,7.34,8.14,93.52
05/17/2015,22.04,7.33,8.18,93.86
05/17/2015,21.98,7.33,8.14,93.35
05/18/2015,21.91,7.32,8.14,93.24
05/18/2015,21.89,7.33,8.16,93.37
05/18/2015,21.88,7.34,8.19,93.71
05/18/2015,21.89,7.33,8.1,92.7
05/18/2015,21.88,7.3,7.97,91.18
05/18/2015,21.82,7.29,7.89,90.2
05/18/2015,21.77,7.31,8,91.35
05/18/2015,21.7,7.31,8,91.22
05/18/2015,21.63,7.27,7.82,89.1
05/18/2015,21.54,7.25,7.71,87.6
05/18/2015,21.44,7.25,7.74,87.85
05/18/2015,21.36,7.24,7.73,87.55
05/18/2015,21.37,7.24,7.65,86.68
05/18/2015,21.36,7.25,7.71,87.37
05/18/2015,21.34,7.28,7.91,89.59
05/18/2015,21.31,7.27,7.83,88.64
05/18/2015,21.31,7.28,7.86,88.97
05/18/2015,21.29,7.27,7.84,88.68
05/18/2015,21.26,7.26,7.77,87.84
05/18/2015,21.22,7.26,7.79,87.96
05/18/2015,21.2,7.26,7.77,87.7
05/18/2015,21.17,7.26,7.74,87.33
05/18/2015,21.19,7.27,7.73,87.33
05/18/2015,21.24,7.27,7.71,87.16
05/18/2015,21.26,7.27,7.69,86.98
05/18/2015,21.26,7.27,7.67,86.74
05/18/2015,21.26,7.26,7.66,86.57
05/18/2015,21.23,7.26,7.65,86.47
05/18/2015,21.24,7.26,7.67,86.64
05/18/2015,21.27,7.26,7.63,86.28
05/18/2015,21.25,7.26,7.66,86.6
05/18/2015,21.33,7.28,7.72,87.45
05/18/2015,21.37,7.29,7.79,88.26
05/18/2015,21.38,7.29,7.82,88.6
05/18/2015,21.41,7.3,7.89,89.44
05/18/2015,21.46,7.3,7.91,89.81
05/18/2015,21.51,7.31,7.97,90.58
05/18/2015,21.59,7.32,8,91.05
05/18/2015,21.71,7.36,8.15,92.92
05/18/2015,21.78,7.36,8.16,93.23
05/18/2015,21.75,7.34,8.11,92.54
05/18/2015,21.78,7.35,8.17,93.28
05/18/2015,21.82,7.35,8.2,93.75
05/18/2015,21.89,7.38,8.31,95.15
