date,description,moneyIn,moneyOut,tx
2016-12-08 02:11:34,PAYMENT SENT,0,0.00405511,a3abbee7c3f754cc177b96b05ac21c5ca551ce2ac6dc8683628597a8283f4847
2016-12-07 23:08:18,PAYMENT RECEIVED,0.004,0,7e5ea2f7192e728a55154a6b695ead4cbcff624a43dd3f90000589eb4d0e3b7b
2016-11-16 15:14:28,PAYMENT SENT,0,0.00217613,d4e43b53094c565767d282b5e1622f3725023b9d43ab6eb4ed4a99813abdd6d2
2016-11-16 15:07:58,PAYMENT SENT,0,0.0070243,0db43179171ae6c3013821bd88fcb8fc416a806f37125525aba78189a887ff9e
2016-11-16 14:54:37,PAYMENT SENT,0,0.0053243,0b31a9b536295340f14f304768742e8e927249e978d275a56144090571e6e79f
2016-11-16 14:39:38,PAYMENT SENT,0,0.0056243,0760970e9d373146843b607e7e4c46ec1162feb7d20c29c55098fbe407d5a0a0
2016-11-16 14:33:08,PAYMENT RECEIVED,0.02014903,0,4ec616866f937a4245bcc4a4f9c6fbdddef3e07a077364e070b14180344f1947
2016-10-16 19:47:45,PAYMENT SENT,0,0.0022762,47539f51ee0f91400d7f6d9a680055090d0661fb1f7c2873d593c42eb445fa26
2016-10-16 19:35:45,PAYMENT SENT,0,0.0053243,d0b1e1b6179d7c213b4e5832a3dac545801554fae44e9ab6804314107942f57a
2016-10-16 18:58:15,PAYMENT SENT,0,0.0067243,04ee0cce6998eee3609b20eab505dd050ec30ac0b6560b105d131ec5469e14df
2016-10-16 18:57:54,PAYMENT SENT,0,0.0029243,89ffbe9a4433c40ae11e6317de46ac75df2a94a0aebf55cde8eefd0cf0ebcf44
2016-10-16 18:54:42,PAYMENT RECEIVED,0.0172491,0,74ceeddb59058f8686dba70fbc3c5fc3d28c38d2cb2247c3c87558ebf5ca0b7a
2016-08-25 13:24:02,PAYMENT SENT,0,0.0010436,f5998666f1c62f8c63097981f7653c2d4e7aced25e20457eaa6115560641d01d
2016-08-24 14:27:49,PAYMENT SENT,0,0.0019243,1288d659cdb51072936fc1e8399d151a875e01a0994c6a75a397a77f285dcba6
2016-08-23 19:11:23,PAYMENT SENT,0,0.0017443,4379d6122d9f3a1098f288afec9b9495d81f9449defd6430b43d53c250718024
2016-08-22 15:03:03,PAYMENT SENT,0,0.0056243,ca7d4292828aaa2026e6cdbea4867fef8cfa0695fcb521be213dd88a97c39087
2016-08-22 14:05:02,PAYMENT SENT,0,0.0016923,466739bed5906232bdb5154dc63074cc3610a0a5e39e2cfe693cedd95a98ec50
2016-08-22 14:00:34,PAYMENT SENT,0,0.0018943,c0e7b9ee962114b258e63f9433cff94ff04107649671b58b71c6cbb19a7f1255
2016-08-22 13:47:32,PAYMENT SENT,0,0.0064243,3448f7f3c33b748b687631a5a41e9f4303d060513e50e6966a52d0109e3e1d05
2016-08-22 13:46:22,PAYMENT RECEIVED,0.02036003,0,2539fd7bab7f2ef66bb831e77f9d4a8309ee3247365e6ec1fd444672b109305c
2016-08-21 20:19:04,PAYMENT SENT,0,0.0017515,c7667a39ca8d2a960e6f2391e0d461113151b9f2d87da1e3bd0bc62674014266
2016-08-21 20:13:29,PAYMENT SENT,0,0.0018743,d67577ffb75aa9f5391aea0ec2ebcfea8129eef5643d6566c647935b082dadd4
2016-08-21 19:54:48,PAYMENT SENT,0,0.0065243,9b305276da98db7a84c54fabc3ec79c286511c5e81babda3dfdc24cda83abc83
2016-08-21 19:42:22,PAYMENT SENT,0,0.0065243,93d84ad6a639876a948a61f17c06925f5733ce58f395b1846bdd3e2b1a672a85
2016-08-21 19:40:21,PAYMENT RECEIVED,0.0166744,0,163ecf1f0e2fb6db64f56ea9d0fe3011ad31fe4c5ea3bf8737de0ef7699ece80
2016-08-21 14:50:18,PAYMENT SENT,0,0.00238934,58600e9136c7ed34d16bcfdf40761ee686cac6143bcd0506196aac96563a12f3
2016-08-21 14:45:33,PAYMENT SENT,0,0.0019843,b0e7efe892a3f6ce532fcfd42f40b0bb7bc525d3889b1980661828f59d16b2e1
2016-08-21 14:38:57,PAYMENT SENT,0,0.0051243,b89972edc122cacf358d5c430d59ff8be1b84a62afbab922e320386002546de3
2016-08-21 14:38:24,PAYMENT SENT,0,0.0020143,ba016cef5829cdd9e4f9e015c0c16b2f393feb31a4fb1f009d25931a7e60c093
2016-08-21 14:17:17,PAYMENT SENT,0,0.0089243,8f63daf121533c0771da52001c76c9cbbc059af46ce07c8476dd6a998d935e9e
2016-08-21 13:50:49,PAYMENT SENT,0,0.0018743,adb5deb7416aef352eb43a3910cf0f59040b41883c623660cb034bde357030b8
2016-08-21 13:44:42,PAYMENT RECEIVED,0.02231084,0,ff73c1d83a92fe90b3976b7382d1e177523d50f5328df15a8becbbce78448b9b
2016-08-21 13:38:08,PAYMENT SENT,0,0.00159662,0fee67bea4859503bf3bb068845d90638f90ae1b401c6c0633c1e333ce77f54a
2016-08-21 13:36:43,PAYMENT SENT,0,0.0060057,aca05e9281f70d1e9a3f05059deef82dd0797a6b93b21b1f928ef1edede8b394
2016-08-21 13:32:07,PAYMENT SENT,0,0.0016923,a497f0b20e6916acc633a5dc94597eeab0112c28517ad2965f57cb4078ba8bb9
2016-08-21 13:23:35,PAYMENT SENT,0,0.0019743,fc264589c252a81598f3fddd0c99de8966f01ef3d4abf4f63bc82d2e92814bfb
2016-08-21 13:22:21,PAYMENT SENT,0,0.0017643,4bcee27130c6b1c44ad101041d1b15ad4c7f3879a5b21634f3b3fbb356fdbb8b
2016-08-21 13:21:25,PAYMENT SENT,0,0.00186789,f469a164b9ea2d985a05a7d899dcd45b9dc8234f224545d51a762fbdb277f947
2016-08-21 12:07:54,PAYMENT SENT,0,0.0017243,4e407b533f582ea7bcdd0f9ec819bde6674ca656a33dba90c30ef5346a9d371b
2016-08-21 11:48:38,PAYMENT SENT,0,0.0065243,798a41f80347ec985d79d1611910a684d4c3233cecb29af21934fec6dc07010c
2016-08-21 11:30:28,PAYMENT SENT,0,0.0083243,e4d6d37626f83beafe076b26facbe76cef6ee42e334357e7f7fc0e6f1c08816e
2016-08-21 11:16:33,PAYMENT SENT,0,0.0089243,040cf029717a0f8a4b0e15e53cf3f46c456f730c7bbbea1172b43c1a8481778d
2016-08-21 10:24:53,PAYMENT SENT,0,0.0018243,3a81778a250bae5a7a36642b89ce854a85661f4546458b28f92361a94fb23ece
2016-08-21 10:24:12,PAYMENT SENT,0,0.0056243,80a1eb8237d7e8028769a084a75195b042d825864256afc6318a21c495fa7f77
2016-08-21 10:15:45,PAYMENT SENT,0,0.0040243,1f2b23c0279f17f114ddfefa55dc5b80d3073cb228a9b545ae7016b4597973b6
2016-08-21 10:00:12,PAYMENT SENT,0,0.0069243,69eed35c2faaabd2a94bfe7db68129ebfeb4c01571e01962f0755fa3ae9a2242
2016-08-21 09:53:59,PAYMENT RECEIVED,0.047,0,1a095511b21f1271d828fe85f7ca6471666cc5b8bee1d7b39880e6f4cbda6151
2016-08-21 09:04:14,PAYMENT SENT,0,0.0085243,28a2a12b5c8202b1fc84537115b47d310fe1aa1ad442c2b211818cbd44b9de7e
2016-08-21 09:02:41,PAYMENT RECEIVED,0.02031981,0,816e1dfd69b080c5b7890f3cf8bf7505f61ae06937325c05a926d237d35fdf82
2016-08-19 12:55:39,PAYMENT SENT,0,0.00129176,386cd43f10470954c4fe672e910e4e4e7b257b745816170f35fcc2fc366de3a0
2016-08-19 12:44:29,PAYMENT SENT,0,0.0053243,5f4be56513d57132bfb8d3b7879fd8fd48b82d14e6ee544ddc620d1220de05ff
2016-08-19 12:42:12,PAYMENT SENT,0,0.0084057,42e2a14554b5033c9eb21734a7876e5c357a1d3539d8ab1ae0a2776ebf043942
2016-08-19 11:51:10,PAYMENT RECEIVED,0.00798837,0,3d79a078dd7d962f64d9d2164c37afd3421fd7aa95b0b0a3ad6954e0f3da9148
2016-08-19 11:25:51,PAYMENT SENT,0,0.0019009,2e009d5aac255f6f159192eec36930fd49328e915855b340eff6cb0033a1e076
2016-08-19 11:25:08,PAYMENT SENT,0,0.0047243,6f43441eb88a64b1f8fc8e241b807ff14e3d3ce1fff4559687d303919e5b9a45
2016-08-19 10:58:52,PAYMENT SENT,0,0.0089243,791de850a785e4e26e6c7e2f55ced815945a3b0d02537a09d3cc118852766636
2016-08-19 10:57:41,PAYMENT RECEIVED,0.02258289,0,1a831e541d3881bdba7c759c3d5f2ba5a5e0f41c548289a6fb15d1e702107464
2016-08-18 21:59:58,PAYMENT SENT,0,0.000227,d6e177b7f73ec774c0bd5058cb4f15ea1b34942f8255f289446380a7e5ac9d02
2016-08-18 16:31:38,PAYMENT SENT,0,0.0024243,91fe30c53e422e26067646c241c52765fc7104e69d0da36a578c468dcd47e83b
2016-08-18 16:25:47,PAYMENT SENT,0,0.0049243,aef58351b92b79747459ce842f5ad8f4de1194a5ce93abf71e0aee41ac8d186f
2016-08-18 16:05:07,PAYMENT SENT,0,0.0041243,6d4730bb84678b2acbf3dd72705318aaab7b8d6117e0cda1728a045a62c321f8
2016-08-18 16:00:47,PAYMENT SENT,0,0.0089243,e36e67d738c65881b81792c52491599e03d07068aee3ddeb581d1ce80d68ed21
2016-08-18 15:56:22,PAYMENT RECEIVED,0.02066668,0,becdc0f1220e808545070a41eb73ff533c9f9801cfb816922eedd0ffac88ab08
2016-08-17 20:29:07,PAYMENT SENT,0,0.00303824,84b58c26fe427c5b1a62fd8e5daad911e7f54781f420766c0bcfb1d6d0f9b66e
2016-08-17 19:58:39,PAYMENT SENT,0,0.0049,58fd9b0853102a56a19e310d36e1819d25ebebbe5c6f2ef83098b77b887b73c6
2016-08-17 19:55:31,PAYMENT SENT,0,0.0059,0943b6999348eefbe1846666295d871b303bf7bfd2d48ff7ee78c1213e290bf0
2016-08-17 19:49:46,PAYMENT SENT,0,0.0087,323346336d3409b17c953772c2c66e2dbb266b09167064f00fa6b935c0f89893
2016-08-17 19:43:42,PAYMENT RECEIVED,0.02253824,0,1d9ddff50d62b0b855a701bbbf3205a7df8442fdc5e217990bbf54c7ce997125
2016-08-17 16:20:29,PAYMENT SENT,0,0.00206,27a19728428dbf5a94d7732d5c8b41b88cd73292fa2a097b3d8232b7b9805386
2016-08-17 16:14:35,PAYMENT SENT,0,0.0087,df160abc89598ffbb76be15777a753d84329aa443000be6b7b34d24ce48c555d
2016-08-17 16:14:23,PAYMENT RECEIVED,0.01076,0,7a7b5220dc1c3b99c9dadf68432f831be7950e5903f79763f20ba0933935fa86
2016-08-17 16:02:47,PAYMENT SENT,0,0.0021,67f7b4f8ca62786430a9b65c4b632c38b9c13d39dfe9847e146f73d2441d8e89
2016-08-17 15:57:04,PAYMENT SENT,0,0.002145,ba64f6df1b4a1736a5b3c61c56f287d1aa378a8e1501389d60d1b1686b620f9b
2016-08-17 15:52:39,PAYMENT SENT,0,0.0077,07718c4f60503c25b8dcb926b93a836ee2d9ad54c7d7dad91ff4f1df15c7dbea
2016-08-17 15:51:58,PAYMENT RECEIVED,0.011945,0,5d2aed1e2fbbd56f7a4ccc3555ad39db3cb9a7ef492dac692a2a0e1e67e769de
2016-08-17 15:11:03,PAYMENT SENT,0,0.0021,3080fbbe6087ed9f2b0e654047eeb636775ba3b1c99ecef9c35a5517e33a94e6
2016-08-17 15:06:17,PAYMENT SENT,0,0.0065,289daa6f233f8d029abf549e379505096a1e3b601682d5bc38381857a113e26f
2016-08-17 14:57:13,PAYMENT SENT,0,0.0081,6dbb0f0e04eb028685eb4ca1e19a0cc9afc749f77df50c65c4178a5b56f71aa5
2016-08-17 14:51:49,PAYMENT SENT,0,0.0073,77242317d95a2498d9c22682e54253cb51837ee811035ab177c5d6e9e8d69661
2016-08-17 13:55:38,PAYMENT SENT,0,0.0061,fb8438085d369e2431a08e1791f736eca24f081d8d4548eded85e2dcd6394f45
2016-08-17 13:46:14,PAYMENT RECEIVED,0.0201,0,f1a3ca4dda639308724f04454871d8a334ed5255423b05d344b7ee8d5f500cad
2016-08-17 13:14:53,PAYMENT SENT,0,0.0021,12f97fe50e244100d4108919e5e43f3ff2e1998f5a13e60765cc813a24c55064
2016-08-17 13:14:07,PAYMENT SENT,0,0.0023,0d9a48cd9d12fb5669d631f848d684b153c162a9951f2768ee40fd1fb12786e2
2016-08-17 13:12:57,PAYMENT SENT,0,0.001983,c8604b25a0b55c4972c81ec00bc0019ce05f772c7319914679c4fc13199cc080
2016-08-17 13:12:27,PAYMENT RECEIVED,0.016383,0,f34b1f608734f204046c1098224f628677a270aaff31bb184907cff23ddbf493
2016-08-17 12:39:46,PAYMENT SENT,0,0.014861,cd2c6f8f56d88218f93db5a7c9a5cf59b407566e6330c942b5fa0e3f3fbdbf1e
2016-08-17 12:21:40,PAYMENT RECEIVED,0.014861,0,5be01a3214a946956388a79a7e9e288f03d054527f4ec73f1a7b9c0ba8bf4a39
2016-08-16 20:29:17,PAYMENT SENT,0,0.0012,00346e5478ec0ecce21624dd07fcb3218e7a6ec73ba101e6910886289cb35703
2016-08-16 20:25:06,PAYMENT SENT,0,0.00170232,24e37f7b7da0332cfd1788fd921ea50c1533544159fdd96292f79445296325f6
2016-08-16 19:30:17,PAYMENT SENT,0,0.0037,437e421b3bb82a15c095589dfe777cc140c1a8f1980308d0a725e2ed10811466
2016-08-16 19:25:50,PAYMENT SENT,0,0.0049,4708abbdf3628b13cbf4fb2cbcab74b346e2658899fbdf36e2b1e68ec63596a0
2016-08-16 19:09:20,PAYMENT SENT,0,0.0069,e17c37e9ba9fe3549196b7c372800ad175c9507ff411f36ac7a0120ab6931781
2016-08-16 19:08:22,PAYMENT RECEIVED,0.01840232,0,f3f2672a3b95872166435bade26172674c722a0cb8c1e5862203ae4d3df20d28
2016-08-15 21:18:44,PAYMENT SENT,0,0.0016,ba843eb13f8b01e7f8e36bac2f7616449fa6352cf34cff98a1810371acec9a5a
2016-08-15 20:28:56,PAYMENT SENT,0,0.0059,0f44c2917ff87f01ef24fcdefe5371bdce027260683aa66611ae066b94eceb7a
2016-08-15 20:20:36,PAYMENT SENT,0,0.0056,c31f6895d66b3fa6a51ff4d03949e7c401bd2fde33e6a200786ac37d18bb2371
2016-08-15 20:07:05,PAYMENT SENT,0,0.0055,8b4cb17d93a0299f17d7afdec3bb19f0f860b360fcaeb8235de7fdf788ea6cc9
2016-08-15 20:01:24,PAYMENT SENT,0,0.0061,8cf3149364056cb7555577654fda92c32f151736facd154d4ebed6b4779a44b2
2016-08-15 19:43:01,PAYMENT SENT,0,0.00181214,8f08a3ac1a8571113188e0b349009ee3d9b6c632a278cf8846b82045a842299f
2016-08-15 19:42:01,PAYMENT SENT,0,0.0065,920acd76a801fe182167a3a6cc7659d2f20c524e040266e62320537ec784b254
2016-08-15 19:30:58,PAYMENT RECEIVED,0.023,0,1e76c5e038abe23b0ed1fe404479658260bdfd945f5e4577161077b5c724b79b
2016-08-15 18:15:42,PAYMENT SENT,0,0.0061,ff1f4633fc379e8ac9c13af41983a50532f594310dfe4b6e4a63c0f368960954
2016-08-15 17:47:30,PAYMENT SENT,0,0.0085,ba0adb1dfb1210473f72bf76b9dfbc6b8a86eeba9c7c8390932dc1b05fdcba73
2016-08-15 17:43:22,PAYMENT RECEIVED,0.02461214,0,672a0f014cd0327d521aa6778e373ee52d1ab2812990a1bb49411d1b21141f21
2016-08-14 15:10:16,PAYMENT SENT,0,0.00094082,11d377f1b73d675a23d85ed819ac9f061478559d7fe3f4c3d702865c2e92cbb1
2016-08-14 15:04:01,PAYMENT SENT,0,0.0032,e0050afd8f74e769265cf982894055b2b90e4141db963f2e9636ae5c721f69d3
2016-08-14 14:31:00,PAYMENT SENT,0,0.0043,46646aca924abcf56e267637ee2977951ef7d0132aaa371ee51adb4f098ec2cb
2016-08-14 14:22:13,PAYMENT SENT,0,0.0083,d300fbda83a9ecce17fbfce9c05c23460c3a06e0608d9c8ee59f902b806c2b95
2016-08-14 14:20:42,PAYMENT RECEIVED,0.01674082,0,717640380d85a90e80e4a77bd9689dd45399ce02ab83e5de7dd3e71a72cafd65
2016-08-11 20:16:04,PAYMENT SENT,0,0.00134629,a744e492ac2498ba4fd2f56a720fb0d0b0e95c186f699221995ce7b9abe059d0
2016-08-11 20:15:12,PAYMENT SENT,0,0.0032,7cebb1075f7cb483455ffd812b070e1c91c59b46277e84f540fb469a56b50658
2016-08-11 20:01:27,PAYMENT SENT,0,0.0079,88c45d0caec3cd209649ff08c48bba3fd844f89aa25a72276e5777a45acf1650
2016-08-11 18:04:21,PAYMENT RECEIVED,0.0109,0,45448f0a92f387bb79dadebf3d419c8aa69351e881ced5e80478109bb7a9c6ee
2016-08-11 17:29:15,PAYMENT SENT,0,0.0015,771a69d556fe5478197ebade4b7fed8750f7b961e639c22b7685c78fd3de5519
2016-08-11 17:18:32,PAYMENT SENT,0,0.0065,fadf73f2076b36acbd23b6f4d85f34149fe39ae07b35fefc05c9c653ee2d9883
2016-08-11 17:09:59,PAYMENT SENT,0,0.0059,ac41ffd5d87a61b78ab629b2d81e4436d0297f0e2586a19d980b9bd81ea104f5
2016-08-11 16:57:53,PAYMENT SENT,0,0.0048,e06f66438e9cecdf11bd9cf249ff8a5672742193074e66bbdf77b6ddc30cb7a3
2016-08-11 16:56:21,PAYMENT RECEIVED,0.02024629,0,41f4f8ff29ce31f2078d452396c63dfa209b39f1bbbf416222e8270fdfad7cce
2016-08-09 20:32:22,PAYMENT SENT,0,0.0032,f8435f6d5277d5468cf6fab11c648b22ecc19c7f0fa16336266113f1bbafd36e
2016-08-09 19:35:38,PAYMENT SENT,0,0.0073,02bd6aec82655e4096355c69cddce9759277884308d5d74c2cac7dc401217ce1
2016-08-09 19:30:24,PAYMENT RECEIVED,0.0091,0,5b56542d54aa6b93d1c2c01b73abd26b540d30db67ac0f35c3aa7161d3b10c8d
2016-08-09 19:13:02,PAYMENT SENT,0,0.0016,3aad7b7aa55429f6d27082c25b55c630c458ac6204789e408da8df1a403f0780
2016-08-09 19:11:17,PAYMENT RECEIVED,0.003,0,30422d3950af76f0878da5c22d69955535ddeea3b3c5afc643bbd2fce8221655
2016-08-09 16:23:54,PAYMENT SENT,0,0.00110252,9d20d68b574870b84319ccde82090d3eccde187ea72c684aedbf15db1f229769
2016-08-09 16:01:44,PAYMENT SENT,0,0.0045,f6de3f48bb104b74f1ad9df5729a1ecfdede965054ddbb4b8963dad1d6d44616
2016-08-09 15:58:34,PAYMENT SENT,0,0.0061,b4689143e71bf23e2e4092c68fbe878bbc69c487b150cf1115c0502172eed457
2016-08-09 15:52:41,PAYMENT SENT,0,0.0061,045299d1d4fbb3ad7fb628f23792561ac6b01cc6e7bafbe5ac540ca6b8d532d9
2016-08-09 15:31:42,PAYMENT RECEIVED,0.01780252,0,2350782f972f1a084f18621b8fc8e886aa403762c041979c3d627bab7e496ebd
2016-08-07 19:50:28,PAYMENT SENT,0,0.00115089,903d6072ea28efcfed1d6322a7b4ebaf837d376c1013ecdddb39229c7d7be344
2016-08-07 19:46:57,PAYMENT SENT,0,0.0041,02cda40a05bcbdd266d2fac3d88f86fc7a7eea52a5f44c1f06d90e7b471f2c61
2016-08-07 19:37:08,PAYMENT SENT,0,0.0062,724ed908b4ba05f8e56c46e1d9440c04ccfaa61fb8c03c63e074dd88d0c289b5
2016-08-07 19:31:04,PAYMENT SENT,0,0.0081,f88d58af82411f128193e54731e9fbeab5503c7dc3114556f526f781cccf300f
2016-08-07 19:29:41,PAYMENT RECEIVED,0.01955089,0,50183ec8235bab3d2e9878caaa6c5a309efb1d21e4c13d30ab963417461fc0dd
2016-08-07 01:10:06,PAYMENT SENT,0,0.00045327,111bf5285225ab2c93f4b849a93d9fb57e77ffac106e5baf9bd155ce01cd458f
2016-08-06 21:35:45,PAYMENT SENT,0,0.0041,0a8fbbb6aa0747787bfc42b0363d389f14e028edf5098fc6f556a34eec2131f1
2016-08-06 21:27:17,PAYMENT SENT,0,0.002,ed9fee3651a8b753a1dec3888be7925d78b7a75a46754afec401f911eac864d1
2016-08-06 21:24:11,PAYMENT SENT,0,0.0049,3444a38d55170f48e8479e7c3302a06492387d3b0b4ec6526347ec8e7088d260
2016-08-06 21:16:40,PAYMENT SENT,0,0.0065,5263f462ec29ca585b544ef795b20949e4ddbdc8905172d57de4fa6eb20f5a63
2016-08-06 21:01:42,PAYMENT RECEIVED,0.01795327,0,e665638f44b7a85d89ee83b5667f8b4e9c33e046e4c811e7ac30aa9e7a8ebcf8
2016-08-05 19:02:27,PAYMENT SENT,0,0.003,9fe8c40ad5119fe08f075a1fc177e0fba4984de4515cdc6544767c686ae17d02
2016-08-05 19:01:36,PAYMENT SENT,0,0.002,6120e4fbcb0550a9757032b87ba7fb000619adfd64a8b822f7c1683f7ffd7c6b
2016-08-05 18:57:30,PAYMENT SENT,0,0.002,35f1a39a426d2908f380aab421d46b7e7e5dbbe19156dec582236de676a6c63f
2016-08-05 18:56:10,PAYMENT SENT,0,0.0017867,9be85be0e4e6a5d04e2cbfd4da6b936771b694bf2f493c81216c69b4008684c0
2016-08-05 18:12:11,PAYMENT SENT,0,0.0061,cfe98d1b84850801a63751c285105c8c2190ae3e2743929a88ab4e417b814a03
2016-08-05 17:59:27,PAYMENT SENT,0,0.0071,ed4fa7e454d73bd2850384180b89e98550f880e2168fe25342661b5462745d0e
2016-08-05 17:49:02,PAYMENT RECEIVED,0.0219867,0,a4514e97012f7144f4c1548b0220a9dd4e69ec91eadc611b10f9759bea38c69e
2016-08-05 16:12:22,PAYMENT SENT,0,0.002,86bba5c817e943300c8d3107b87888ba46fb64b498736ff210e4081b836cfd8f
2016-08-05 16:11:14,PAYMENT SENT,0,0.001609,877cac12aaa6417cd0b89389b8580a1a1ea49b7ad6defa64b3c552bb871604cd
2016-08-05 16:08:08,PAYMENT SENT,0,0.0085,49628d0aeac63e245a8bf445a48a3c07c1c172cfa04f501581d1520dc8f0154f
2016-08-05 15:54:35,PAYMENT SENT,0,0.0076,be13f4ba122c0ef4c47a3425216105db33be5e653554f695b9c13eed6088b372
2016-08-05 15:54:04,PAYMENT RECEIVED,0.019454,0,5f8c42233a24faf9c788464349e976bf3c18198f22424cc0f0ef0fef56959196
2016-08-05 15:50:53,PAYMENT SENT,0,0.004,6f227dc5dea022757bb23e1af45ff937e8ef80315b80757bbe795b9878f59c7d
2016-08-05 15:40:55,PAYMENT SENT,0,0.0061,1c72bd81185d782859fcdf1e3461460be8d0d6b7bfe98dd32ae579c9bf866b9c
2016-08-05 15:23:41,PAYMENT SENT,0,0.0076,6a2b53899296999a5e7d7ece9e1d1afe554a1d419f846ec6e92751d17d7b9a82
2016-08-05 15:22:41,PAYMENT RECEIVED,0.017955,0,72464360a9d846af2fdb87052f117e5b393061d0280112996f384725f0a90dfe
2016-08-05 14:57:58,PAYMENT SENT,0,0.004245,97008f6d2ac7b8112a90b94f35c7806954dbdec869123180a3372b509eb1b5f7
2016-08-05 14:51:23,PAYMENT SENT,0,0.0041,bd4e9a575b80deeb6c4010d40dfb774402ba30d47706b8e90fd4b1e69e4cf6ba
2016-08-05 14:44:29,PAYMENT SENT,0,0.0081,9c8b8a63dd554b89b147b7fb760fc3645bc3d3c79afa668475828082c390778e
2016-08-05 14:44:21,PAYMENT RECEIVED,0.016445,0,df80f96f4c9a44528382201bd8685bbdcf169e1c5c20b58363fa103cb10cdc6c
2016-08-05 14:39:22,PAYMENT SENT,0,0.004,a9d2a030b293a01f37230faa485f2c6b591b22ac437c6974ab14bdd4efe9a9ee
